YEAR,category,aktor,film,type
2023,COSTUME DESIGN,Jenny Beavan,"""Mrs. Harris Goes to Paris""",nominees
2023,DIRECTING,Daniel Kwan and Daniel Scheinert,"""Everything Everywhere All at Once""",Winner
2023,DIRECTING,Martin McDonagh,"""The Banshees of Inisherin""",nominees
2023,DIRECTING,Steven Spielberg,"""The Fabelmans""",nominees
2023,DIRECTING,Todd Field,"""Tár""",nominees
2023,DIRECTING,Ruben Östlund,"""Triangle of Sadness""",nominees
2023,DOCUMENTARY FEATURE FILM,"Daniel Roher, Odessa Rae, Diane Becker, Melanie Miller and Shane Boris","""Navalny""",Winner
2023,DOCUMENTARY FEATURE FILM,"Shaunak Sen, Aman Mann and Teddy Leifer","""All That Breathes""",nominees
2023,DOCUMENTARY FEATURE FILM,"Laura Poitras, Howard Gertler, John Lyons, Nan Goldin and Yoni Golijov","""All the Beauty and the Bloodshed""",nominees
2023,DOCUMENTARY FEATURE FILM,"Sara Dosa, Shane Boris and Ina Fichman","""Fire of Love""",nominees
2023,DOCUMENTARY FEATURE FILM,Simon Lereng Wilmont and Monica Hellström,"""A House Made of Splinters""",nominees
2023,DOCUMENTARY SHORT FILM,Kartiki Gonsalves and Guneet Monga,"""The Elephant Whisperers""",Winner
2023,DOCUMENTARY SHORT FILM,Evgenia Arbugaeva and Maxim Arbugaev,"""Haulout""",nominees
2023,DOCUMENTARY SHORT FILM,Jay Rosenblatt,"""How Do You Measure a Year?""",nominees
2023,DOCUMENTARY SHORT FILM,Anne Alvergue and Beth Levison,"""The Martha Mitchell Effect""",nominees
2023,DOCUMENTARY SHORT FILM,Joshua Seftel and Conall Jones,"""Stranger at the Gate""",nominees
2023,FILM EDITING,Paul Rogers,"""Everything Everywhere All at Once""",Winner
2023,FILM EDITING,Mikkel E.G. Nielsen,"""The Banshees of Inisherin""",nominees
2023,FILM EDITING,Matt Villa and Jonathan Redmond,"""Elvis""",nominees
2023,FILM EDITING,Monika Willi,"""Tár""",nominees
2023,FILM EDITING,Eddie Hamilton,"""Top Gun: Maverick""",nominees
2023,INTERNATIONAL FEATURE FILM,Germany,"""All Quiet on the Western Front""",Winner
2023,INTERNATIONAL FEATURE FILM,Argentina,"""Argentina, 1985""",nominees
2023,INTERNATIONAL FEATURE FILM,Belgium,"""Close""",nominees
2023,INTERNATIONAL FEATURE FILM,Poland,"""EO""",nominees
2023,INTERNATIONAL FEATURE FILM,Ireland,"""The Quiet Girl""",nominees
2023,MAKEUP AND HAIRSTYLING,"Adrien Morot, Judy Chin and Annemarie Bradley","""The Whale""",Winner
2023,MAKEUP AND HAIRSTYLING,Heike Merker and Linda Eisenhamerová,"""All Quiet on the Western Front""",nominees
2023,MAKEUP AND HAIRSTYLING,"Naomi Donne, Mike Marino and Mike Fontaine","""The Batman""",nominees
2023,MAKEUP AND HAIRSTYLING,Camille Friend and Joel Harlow,"""Black Panther: Wakanda Forever""",nominees
2023,MAKEUP AND HAIRSTYLING,"Mark Coulier, Jason Baird and Aldo Signoretti","""Elvis""",nominees
2023,MUSIC (Original Score),Volker Bertelmann,"""All Quiet on the Western Front""",Winner
2023,MUSIC (Original Score),Justin Hurwitz,"""Babylon""",nominees
2023,MUSIC (Original Score),Carter Burwell,"""The Banshees of Inisherin""",nominees
2023,MUSIC (Original Score),Son Lux,"""Everything Everywhere All at Once""",nominees
2023,MUSIC (Original Score),John Williams,"""The Fabelmans""",nominees
2023,MUSIC (Original Song),Music by M.M. Keeravaani; Lyric by Chandrabose,"""RRR""",Winner
2023,MUSIC (Original Song),Music and Lyric by Diane Warren,"""Tell It like a Woman""",nominees
2023,MUSIC (Original Song),Music and Lyric by Lady Gaga and BloodPop,"""Top Gun: Maverick""",nominees
2023,MUSIC (Original Song),"Music by Tems, Rihanna, Ryan Coogler and Ludwig Goransson; Lyric by Tems and Ryan Coogler","""Black Panther: Wakanda Forever""",nominees
2023,MUSIC (Original Song),"Music by Ryan Lott, David Byrne and Mitski; Lyric by Ryan Lott and David Byrne","""Everything Everywhere All at Once""",nominees
2023,BEST PICTURE,"Daniel Kwan, Daniel Scheinert and Jonathan Wang, Producers","""Everything Everywhere All at Once""",Winner
2023,BEST PICTURE,"Malte Grunert, Producer","""All Quiet on the Western Front""",nominees
2023,BEST PICTURE,"James Cameron and Jon Landau, Producers","""Avatar: The Way of Water""",nominees
2023,BEST PICTURE,"Graham Broadbent, Pete Czernin and Martin McDonagh, Producers","""The Banshees of Inisherin""",nominees
2023,BEST PICTURE,"Baz Luhrmann, Catherine Martin, Gail Berman, Patrick McCormick and Schuyler Weiss, Producers","""Elvis""",nominees
2023,BEST PICTURE,"Kristie Macosko Krieger, Steven Spielberg and Tony Kushner, Producers","""The Fabelmans""",nominees
